collision_count_control,collision_count_delta,collision_count_treatment,collision_penalized_discovery_rate_control,collision_penalized_discovery_rate_delta,collision_penalized_discovery_rate_treatment,control,discovery_rate_control,discovery_rate_delta,discovery_rate_treatment,episode,lambda2_control,lambda2_delta,lambda2_treatment,node_count,rf_chains,treatment
0,1900.0,1900,0.01282051282051282,0.1681496364332185,0.18097014925373134,uniform_random,0.01282051282051282,0.608974358974359,0.6217948717948718,2,0.0,17.21105350177426,17.21105350177426,40,1,budgeted_collision_aware_isac
2657,-1203.0,1454,0.13209194064591212,0.08814082569249432,0.22023276633840644,wang2025_isac_no_collab,0.5820512820512821,0.048717948717948656,0.6307692307692307,3,13.709808816249058,-0.1379171174545757,13.571891698794483,40,1,budgeted_collision_aware_isac
4330,-2876.0,1454,0.09197651663405088,0.12825624970435556,0.22023276633840644,wang2025_comm_tables,0.6025641025641025,0.028205128205128216,0.6307692307692307,3,13.388745678843737,0.18314601995074575,13.571891698794483,40,1,budgeted_collision_aware_isac
4102,-2648.0,1454,0.09893486276116346,0.12129790357724297,0.22023276633840644,wang2025_isac_tables,0.6192307692307693,0.011538461538461497,0.6307692307692307,3,15.269399475799528,-1.697507777005045,13.571891698794483,40,1,budgeted_collision_aware_isac
5240,-3786.0,1454,0.0686046511627907,0.15162811517561575,0.22023276633840644,improved_rl_isac,0.5294871794871795,0.10128205128205126,0.6307692307692307,3,11.912713838753538,1.6591778600409448,13.571891698794483,40,1,budgeted_collision_aware_isac
0,1454.0,1454,0.017948717948717947,0.2022840483896885,0.22023276633840644,uniform_random,0.017948717948717947,0.6128205128205128,0.6307692307692307,3,-5.286734621708339e-16,13.571891698794483,13.571891698794483,40,1,budgeted_collision_aware_isac
2783,-1159.0,1624,0.12770137524557956,0.07654155320699949,0.20424292845257905,wang2025_isac_no_collab,0.5833333333333334,0.0461538461538461,0.6294871794871795,4,13.294208752147675,0.13315839591215806,13.427367148059833,40,1,budgeted_collision_aware_isac
4555,-2931.0,1624,0.0901593252108716,0.11408360324170745,0.20424292845257905,wang2025_comm_tables,0.6166666666666667,0.012820512820512775,0.6294871794871795,4,17.238223180137233,-3.8108560320773996,13.427367148059833,40,1,budgeted_collision_aware_isac
4425,-2801.0,1624,0.087223823246878,0.11701910520570105,0.20424292845257905,wang2025_isac_tables,0.5820512820512821,0.04743589743589738,0.6294871794871795,4,11.473010773758691,1.9543563743011418,13.427367148059833,40,1,budgeted_collision_aware_isac
5659,-4035.0,1624,0.06724646684267743,0.13699646160990162,0.20424292845257905,improved_rl_isac,0.5551282051282052,0.07435897435897432,0.6294871794871795,4,13.320093174635932,0.10727397342390077,13.427367148059833,40,1,budgeted_collision_aware_isac
0,1624.0,1624,0.010256410256410256,0.1939865181961688,0.20424292845257905,uniform_random,0.010256410256410256,0.6192307692307693,0.6294871794871795,4,-3.766952803685543e-16,13.427367148059833,13.427367148059833,40,1,budgeted_collision_aware_isac
4194,-1411.0,2783,0.118472042812327,0.07139821666871092,0.18987025948103792,wang2025_isac_no_collab,0.5240816326530612,0.0971428571428572,0.6212244897959184,0,15.0392664318208,5.079393085438099,20.118659517258898,50,1,budgeted_collision_aware_isac
7911,-5128.0,2783,0.06830122591943957,0.12156903356159834,0.18987025948103792,wang2025_comm_tables,0.5093877551020408,0.11183673469387756,0.6212244897959184,0,17.581007608998025,2.537651908260873,20.118659517258898,50,1,budgeted_collision_aware_isac
8270,-5487.0,2783,0.0659294365455503,0.12394082293548762,0.18987025948103792,wang2025_isac_tables,0.5110204081632653,0.11020408163265305,0.6212244897959184,0,13.325486488905653,6.7931730283532445,20.118659517258898,50,1,budgeted_collision_aware_isac
8303,-5520.0,2783,0.056255247691015954,0.13361501179002197,0.18987025948103792,improved_rl_isac,0.43755102040816324,0.18367346938775514,0.6212244897959184,0,11.907854490760402,8.210805026498496,20.118659517258898,50,1,budgeted_collision_aware_isac
0,2783.0,2783,0.011428571428571429,0.1784416880524665,0.18987025948103792,uniform_random,0.011428571428571429,0.6097959183673469,0.6212244897959184,0,0.0,20.118659517258898,20.118659517258898,50,1,budgeted_collision_aware_isac
4194,-1472.0,2722,0.11773389924340284,0.07659090440493767,0.1943248036483405,wang2025_isac_no_collab,0.5208163265306123,0.10530612244897952,0.6261224489795918,1,16.621324555649448,5.469768486606597,22.091093042256045,50,1,budgeted_collision_aware_isac
